sensor,threshold,lambda,medLagFast,medLagSlow
All,0.3,0.75,1,5
All,0.3,0.8,1,5
All,0.3,0.85,1,5
All,0.3,0.9,1,5
All,0.3,0.95,1,5
All,0.3,1,1,5
All,0.4,0.05,3,7
All,0.4,0.1,3,6.5
All,0.4,0.15,2,6
All,0.4,0.2,2,5
All,0.4,0.25,2,5
All,0.4,0.3,2,5
All,0.4,0.35,2,5
All,0.4,0.4,1,5
All,0.4,0.45,1,5
All,0.4,0.5,1,5
All,0.4,0.55,1,5
All,0.4,0.6,1,5
All,0.4,0.65,1,5
All,0.4,0.7,1,5
All,0.4,0.75,1,5
All,0.4,0.8,1,5
All,0.4,0.85,1,5
All,0.4,0.9,1,5
All,0.4,0.95,1,5
All,0.4,1,1,5
All,0.5,0.05,4,7
All,0.5,0.1,3,7
All,0.5,0.15,3,6
All,0.5,0.2,3,6
All,0.5,0.25,2,6
All,0.5,0.3,2,5
All,0.5,0.35,2,5
All,0.5,0.4,2,5
All,0.5,0.45,2,5
All,0.5,0.5,2,5
All,0.5,0.55,2,5
All,0.5,0.6,2,5
All,0.5,0.65,2,5
All,0.5,0.7,1.5,5
All,0.5,0.75,2,5
All,0.5,0.8,1.5,5
All,0.5,0.85,2,5
All,0.5,0.9,2,5
All,0.5,0.95,2,5
All,0.5,1,2,5
All,0.6,0.05,4.5,8
All,0.6,0.1,4,7
All,0.6,0.15,3,7
All,0.6,0.2,3,6
All,0.6,0.25,3,6
All,0.6,0.3,2,6
All,0.6,0.35,2,6
All,0.6,0.4,2,5
All,0.6,0.45,2,5
All,0.6,0.5,2,5
All,0.6,0.55,2,5
All,0.6,0.6,2,5
All,0.6,0.65,2,5
All,0.6,0.7,2,5
All,0.6,0.75,2,5
All,0.6,0.8,2,5
All,0.6,0.85,2,5
All,0.6,0.9,2,5
All,0.6,0.95,2,5
All,0.6,1,2,5
All,0.7,0.05,5,9
All,0.7,0.1,4,8
All,0.7,0.15,4,7
All,0.7,0.2,3,6.5
All,0.7,0.25,3,6
All,0.7,0.3,3,6
All,0.7,0.35,3,6
All,0.7,0.4,2,6
All,0.7,0.45,2,6
All,0.7,0.5,2,5.5
All,0.7,0.55,2,5
All,0.7,0.6,2,5
All,0.7,0.65,2,5
All,0.7,0.7,2,5
All,0.7,0.75,2,5
All,0.7,0.8,2,5
All,0.7,0.85,2,5
All,0.7,0.9,2,5
All,0.7,0.95,2,5
All,0.7,1,2,5
All,0.8,0.05,6,10
All,0.8,0.1,5,8
All,0.8,0.15,4,8
All,0.8,0.2,4,7
All,0.8,0.25,3,7
All,0.8,0.3,3,6.5
All,0.8,0.35,3,6
All,0.8,0.4,3,6
All,0.8,0.45,3,6
All,0.8,0.5,3,6
All,0.8,0.55,2,6
All,0.8,0.6,2,6
All,0.8,0.65,2,6
All,0.8,0.7,2,6
All,0.8,0.75,2,6
All,0.8,0.8,2,6
All,0.8,0.85,2,6
All,0.8,0.9,2,6
All,0.8,0.95,2,6
All,0.8,1,2,6
All,0.9,0.05,8,11
All,0.9,0.1,6,10
All,0.9,0.15,5,9
All,0.9,0.2,5,8
All,0.9,0.25,4,7
All,0.9,0.3,4,7
All,0.9,0.35,4,7
All,0.9,0.4,4,7
All,0.9,0.45,3,7
All,0.9,0.5,3,6
All,0.9,0.55,3,6
All,0.9,0.6,3,6
All,0.9,0.65,3,6
All,0.9,0.7,3,6
All,0.9,0.75,3,6
All,0.9,0.8,3,6
All,0.9,0.85,3,6
All,0.9,0.9,3,6
All,0.9,0.95,3,6
All,0.9,1,3,6
All,1,0.05,22,24
All,1,0.1,17,20
All,1,0.15,16,19.5
All,1,0.2,16,19
All,1,0.25,16,19
All,1,0.3,16,20
All,1,0.35,16,20
All,1,0.4,16,19
All,1,0.45,15,19
All,1,0.5,15,17
All,1,0.55,14.5,17
All,1,0.6,14,17
All,1,0.65,14,17
All,1,0.7,14,17
All,1,0.75,14.5,17.5
All,1,0.8,15,18
All,1,0.85,15,19
All,1,0.9,15,20
All,1,0.95,15,19.5
All,1,1,16,21
